"COUNTRY"	"GDP_PER_CAP"	"CO2_PER_CAP"	"PERC_ACCESS_ELECTRICITY"	"ATMS_PER_1E5"	"PERC_INTERNET_USERS"	"SCIENTIFIC_ARTICLES_PER_YR"	"PERC_FEMALE_SECONDARY_EDU"	"PERC_FEMALE_LABOR_FORCE"	"PERC_FEMALE_PARLIAMENT"	"EQUAL_WORK"	"EQUAL_PAY"
"Afghanistan"	599.78248171526	0.318832326474457	64.0341992972718	0.777416928874619	6.22003398415069	37.425	34.08873295784	17.6485555436876	27.6555555555556	"NO"	"NO"
"Albania"	4369.72770116082	1.71646187070495	100	34.5835023450844	54.5965420547379	222.1875	48.9895887374878	53.811777750651	19.2888888888889	"NO"	"YES"
"Algeria"	4622.59904617605	3.44984617289635	99.0725265279089	6.78742444308582	23.7469408600042	3194.55	51.193229675293	16.6287777158949	23.0222222222222	"NO"	"YES"
"Angola"	3604.7677116041	1.26757965095605	35.9788100242615	14.4219000021886	7.4	25.15	46.5643463134766	76.2897788153754	36.9111111111111	"YES"	"YES"
"Argentina"	10352.000365184	4.55812751486565	99.4719400787354	52.558559267965	56.1765056161768	8156.075	51.25859778268	55.3766665988498	37.5857142857143	"NO"	"YES"
"Armenia"	3662.05307148829	1.74393920928946	99.8636089324951	49.1628789305015	41.2214016673237	534.175	48.4745494297573	56.9704441494412	10.9333333333333	"YES"	"NO"
"Australia"	53876.1429029327	16.9999429570533	100	164.604431714361	81.7261214240276	47138.475	49.6307187080383	70.7059995863173	26.3888888888889	"YES"	"YES"
"Austria"	47795.0498699027	7.49395174105055	100	115.675616466292	80.5781857535961	12137.5625	50.0956726074219	70.388666788737	29.8777777777778	"YES"	"YES"
"Azerbaijan"	5895.31505781887	3.69026343148687	99.9687650680542	31.3507916652201	62.2000018898155	541.6625	46.1325764656067	67.3578889634874	15.7222222222222	"NO"	"NO"
"Bahamas, The"	27435.6123490123	5.55790661031507	99.8149299621582	92.4827193887433	65.068525351837	11.65	50.4898300170898	76.9523340861003	12.8222222222222	"YES"	"NO"
"Bangladesh"	890.708413314755	0.416356234542063	62.1744689559937	4.48315041599502	8.68461725036811	1930.3	52.4690611703055	32.873221927219	19.6	"NO"	"NO"
"Barbados"	16064.0393758686	5.23036661297566	100	35.6952444895043	71.2649247361092	40.8875	49.7751681009929	74.9313337537977	13.7222222222222	"NO"	"NO"
"Belarus"	6300.58570399743	6.66058330374844	100	46.8810754407374	52.4253763148759	1042.95	49.705979347229	73.3992216322157	30.1666666666667	"NO"	"YES"
"Belgium"	44704.5177724831	9.00227200765451	100	91.109653928374	81.5276963734843	16436.7875	51.8332159859793	62.0631103515625	38.5777777777778	"YES"	"YES"
"Belize"	4365.82930409328	1.61449175781702	91.381831676814	39.0163710118745	34.4457175399794	7.5	51.2114763259888	55.3196661207411	2.76666666666667	"NO"	"NO"
"Benin"	801.911787639574	0.565260261739745	36.7827612876892	3.91930580434365	6.02091986038129	153.65	39.7193832397461	69.918445163303	8.53333333333333	"NO"	"YES"
"Bhutan"	2460.83570653666	0.963880085279782	88.7992674772211	16.7987448201364	23.1303305665209	23.225	50.7758316993713	62.5538885328505	8.26666666666667	"NO"	"YES"
"Bolivia"	2223.39732704412	1.6925551606738	89.2362622785034	27.7579882880563	31.4237231566586	87.975	48.064076423645	60.6104431152344	37.3666666666667	"NO"	"YES"
"Bosnia and Herzegovina"	4953.90335094436	6.02240666728747	99.9090061834751	44.5328904846047	50.0258206657375	502.7875	51.5314083099365	44.6309996710884	20.6111111111111	"NO"	"YES"
"Botswana"	6998.38437511492	2.33128610270518	53.5719635772705	28.2417044080846	22.5712243996947	172.6375	51.3998804092407	63.980221218533	8.61111111111111	"YES"	"NO"
"Brazil"	11321.3209655064	2.27578536250273	99.4405599550781	114.629075174103	49.8639367102322	48246.8125	50.7336627415248	59.1751107109918	9.28888888888889	"YES"	"NO"
"Brunei Darussalam"	33948.6110336337	21.9564045996422	100	81.8295817419493	64.0928831302899	123.3875	48.8768911361695	61.7291107177734	7.8	"YES"	"NO"
"Bulgaria"	7332.0345870225	5.97554047473299	100	92.5652282757853	53.2837144179177	2637.4875	50.8459229469299	63.8169987996419	21.6111111111111	"YES"	"YES"
"Burkina Faso"	624.218441151468	0.148443505623032	16.6941716432571	2.69788443133746	6.76283513527797	182.1625	44.5322308540344	60.3783336215549	14	"YES"	"NO"
"Burundi"	230.029210712122	0.0297404181935593	6.43804625272751	1.02989739389839	2.11425866201274	11.2	45.2166767120361	81.2266676161024	32.7444444444444	"YES"	"NO"
"Cabo Verde"	3392.05550462428	1.04233878143745	84.6812908172607	44.6558945671685	38.407218246242	6.25	53.5092930793762	51.121888478597	20.8222222222222	"YES"	"NO"
"Cambodia"	930.67128354635	0.36979455726163	42.7354115486145	7.9372093522049	13.2617651336658	84.575	48.0542078018188	83.5540000067817	20.4777777777778	"YES"	"NO"
"Cameroon"	1396.51424276075	0.314170857047779	55.7167363166809	2.5389025410732	12.8597768734715	510.5875	47.9988305228097	71.826779683431	23.4555555555556	"NO"	"NO"
"Canada"	49197.8678003519	15.3407088379562	100	217.834680654863	84.89375	58791.8	48.9895835876465	74.2983322143555	24.6444444444444	"YES"	"YES"
"Central African Republic"	377.416163822509	0.0628328094078337	11.8298554182053	0.807007454844686	2.975	15.15	36.2873067855835	65.2633327907986	10	"NO"	"NO"
"Chad"	895.257633918086	0.047564393813197	7.24062277078628	0.827051961096145	2.63750000000682	8.725	30.3940484523773	65.2575547960069	12.2777777777778	"NO"	"YES"
"Chile"	14100.0972690105	4.49537095567679	99.7173627198486	60.8629563078006	61.7207882468468	5406.575	50.3543157577515	55.0213330586751	14.9111111111111	"NO"	"NO"
"China"	5728.91848573987	7.05633457693201	99.8077949523926	46.4268758052849	43.9222352761777	358467.7	47.7200403213501	69.3598887125651	22.6	"NO"	"NO"
"Colombia"	6959.17273182078	1.7109985247113	97.4167136958008	36.8306737829299	48.4891402397865	4377.4125	50.807080745697	62.1438886854384	15.0888888888889	"NO"	"NO"
"Comoros"	772.796174957929	0.209968089614053	69.4116083145142	4.62003207767156	6.11909755811007	3.875	50.3447176615397	36.0206663343642	3.01111111111111	"YES"	"YES"
"Congo, Dem. Rep."	373.459596210692	0.0408746475892755	14.4962891817093	0.684204216945374	2.4212418227774	84.3875	38.1017627716065	72.1411107381185	8.9875	"NO"	"NO"
"Congo, Rep."	2763.30613541754	0.548095221291874	48.0494682312012	3.66926811820252	6.33182737623929	58.9375	45.0671329498291	68.696890089247	7.8	"NO"	"NO"
"Costa Rica"	8878.1871451435	1.67044118957851	99.4342245	59.4386665946568	50.4306137337743	311.3625	49.8223352432251	51.6174452039931	36.2444444444444	"NO"	"NO"
"Cote d'Ivoire"	1350.84345897064	0.397157553552097	60.1465110778809	5.50161583038801	18.5960167390542	176.2375	39.9214232308524	49.0133332146539	9.77777777777778	"NO"	"YES"
"Croatia"	14004.761782372	4.38113835067544	100	112.897461530415	63.5304611360758	4530.05	51.642954826355	60.0074445936415	20.9444444444444	"YES"	"YES"
"Cyprus"	28972.4535055246	6.24544459075377	100	59.0981686171683	64.8326677681095	789.1125	51.3762784685407	67.3813332451715	13.1	"NO"	"YES"
"Czech Republic"	20611.8088178645	9.88487308494351	100	47.6612961575091	72.9312591543801	14284.8	51.2659252711705	64.6242222256131	20.0555555555556	"NO"	"YES"
"Denmark"	59197.7811038542	7.17926230672966	100	56.7004879212889	93.1830413902279	12387.8875	50.9451737403869	76.0524453057183	38.2888888888889	"YES"	"YES"
"Djibouti"	1325.99072352076	0.62724306551297	52.8900134086609	5.31899213489546	14.0795542977046	6.375	43.8636450767517	51.3506664699978	12.9777777777778	"NO"	"YES"
"Dominican Republic"	6045.51324511932	2.10763708683431	98.3982865	33.1382331048378	44.1257207921223	28.1125	51.6644897460938	56.2595553927951	22.0111111111111	"YES"	"NO"
"Ecuador"	5096.41719958941	2.54887723963866	97.9717586693115	49.1588042864057	40.69745218024	404.425	50.6485552787781	54.3044454786513	36.7444444444444	"NO"	"YES"
"Egypt, Arab Rep."	2632.17415301038	2.41542198307305	99.7971782684326	10.1548964126566	31.2124731858983	8451.2125	49.6875400543213	24.2133333418104	8.05	"NO"	"NO"
"El Salvador"	3210.18435854403	1.03987826464594	94.1383665605469	32.2282847321353	21.3627597344701	19.6	49.1543736457825	50.6300002204047	25.9	"YES"	"NO"
"Equatorial Guinea"	15873.1080872157	5.09801534661635	66.4945384979248	5.4692389092913	14.2416477684486	3.85	47.8094393412272	57.2171109517415	16.4555555555556	"NO"	"YES"
"Estonia"	16715.1052546889	13.6328799563864	100	79.4912483481001	81.0541505026451	1457.4125	51.9516045706613	72.0797763400607	22.2555555555556	"YES"	"YES"
"Eswatini"	3836.35027778909	0.892624359206321	56.1922464323379	25.8180252987019	20.4979191750079	32.5375	49.4495664324079	43.6057773166233	9.48888888888889	"NO"	"NO"
"Ethiopia"	426.209061105767	0.0937227164435342	29.1685428142548	0.293116383755228	5.85151242689315	762.175	46.2814483642578	79.8677766587999	30.8111111111111	"NO"	"NO"
"Fiji"	3933.88954762228	1.241379519103	93.0406494140625	40.7271076747697	32.5436668830415	90.9125	50.8762302398682	42.5138888888889	15.5	"NO"	"NO"
"Finland"	45984.911906709	9.74881423126304	100	35.1531263155375	87.5121664451379	10509.15	51.7530751228333	73.5393329196506	41.6666666666667	"YES"	"YES"
"France"	41318.8866740058	5.10927819143116	100	107.080388106697	79.0633109991856	72243.2125	50.3664131164551	66.552000257704	25.3444444444444	"NO"	"YES"
"Gabon"	9220.78937197892	2.85352561734591	87.6784490585327	10.1250983823106	28.3682566263273	54.2	51.6545715332031	43.3436665005154	15.0777777777778	"NO"	"NO"
"Georgia"	3582.33655605142	1.98903895054511	99.7989625930786	60.2212992159583	41.1167796885835	461.0625	48.0745124816895	62.2802221510145	10.1875	"YES"	"NO"
"Germany"	44190.7013414299	9.11706372592071	100	118.903330140842	84.0680443749737	102747.7375	49.5997243608747	72.3620012071398	34.9333333333333	"YES"	"NO"
"Ghana"	1564.42894947905	0.445498608658891	70.6680206912232	6.12609838637481	17.43394881125	591.8875	47.4017643928528	75.7545547485351	10.15	"NO"	"NO"
"Greece"	23993.2809357246	7.12863305737181	100	67.5257158009082	56.564900510239	11702.1875	50.052339553833	59.0335557725694	19.3333333333333	"YES"	"YES"
"Guatemala"	2962.93605945308	0.871026235469175	86.7065995516968	30.1611073062596	19.3144084558641	71.2875	46.4696154594422	43.4891107347276	13.0777777777778	"NO"	"NO"
"Guinea"	709.759552769247	0.223838972540382	28.3671444892883	1.32219770569303	4.4925	18.325	37.6430981953939	65.1226654052735	21.9	"NO"	"YES"
"Guinea-Bissau"	562.840510392148	0.154356021285031	11.5954938411712	3.11766638405954	3.00517399524239	11.125	40.4749717712402	66.2965562608507	12.5333333333333	"NO"	"NO"
"Guyana"	3436.69511410261	2.43630464067895	82.1566209793091	16.5751530950568	30.87	12.4	50.5724182128907	41.6377779642741	30.8777777777778	"NO"	"YES"
"Honduras"	2040.73936486363	1.03397192151953	84.806796454834	21.0210420196186	18.6762267267228	24.6125	53.6732196807861	47.5976664225261	21.9666666666667	"NO"	"NO"
"Hungary"	13945.9323931663	4.61328114162737	100	57.6623466575734	71.4157479923044	6373.9	50.1831874847412	59.198555416531	9.66666666666667	"YES"	"NO"
"Iceland"	44981.0874844042	6.00890764266537	100	79.926283888896	96.0707878319224	587.7375	51.403564453125	83.5615564982096	42.3444444444444	"YES"	"YES"
"India"	1583.86265746096	1.53751273856846	79.0206800460815	13.0030447837612	15.8646529749714	85184.625	48.0293302536011	29.1768889957004	11.3111111111111	"NO"	"NO"
"Indonesia"	3549.73553582007	2.06902100861062	95.895203217892	34.8776410523879	17.3820566230253	3156.1875	50.6870560646057	52.8243327670627	18.0222222222222	"YES"	"NO"
"Iran, Islamic Rep."	6363.09615616471	7.88303193654767	99.5876159667969	50.7765835316534	33.3009005189748	32151.6	49.6211291721889	16.3434446122911	3.62222222222222	"NO"	"NO"
"Ireland"	56915.0616887462	8.00710878865224	100	90.567536682256	78.2000778057997	7051.5125	49.2762587411063	62.7374445597331	16.6777777777778	"YES"	"YES"
"Israel"	32106.1303446528	8.7137531662639	100	93.4544195853928	72.6831489471629	11717.6375	49.5949540138245	67.5604451497396	22.6	"NO"	"YES"
"Italy"	34751.1671117017	6.25763436563566	100	97.2458463866554	56.3994318895	65351.4125	53.25029700143	53.0444446139865	26.8222222222222	"YES"	"YES"
"Jamaica"	4737.51705622278	2.69766144356982	94.5023187637329	27.6686495062159	35.9111782596741	183.4	50.4700513567243	62.3656662835015	13.9	"NO"	"NO"
"Japan"	45906.9685146772	9.34078475838005	100	128.78648623006	85.2445074756614	106035.675	49.6554777962821	65.2737778557671	9.53333333333333	"NO"	"NO"
"Jordan"	3452.30231666177	2.99644045739174	99.7649343490601	25.0379701427131	41.8895719070715	1476.3125	50.6034679412842	15.4216664632161	11.7555555555556	"NO"	"NO"
"Kazakhstan"	10026.9944420668	14.732158543335	99.9061353417892	68.2877785145897	57.0505844663309	794.9875	49.5691057840983	73.2095565795898	23.0666666666667	"NO"	"NO"
"Kenya"	1049.41740188575	0.302119575165093	33.3277512550354	9.15339921135309	11.9125	853.1	48.3664916992188	62.5458891126845	15.3444444444444	"YES"	"YES"
"Korea, Rep."	23699.3748287089	11.4186276107443	100	275.444849616099	87.0329023886312	57316.175	47.775817326137	56.1732224358453	15.7888888888889	"NO"	"NO"
"Kuwait"	37539.3509178761	28.6805573103056	100	55.1322632911071	72.9410791990224	805.2	49.8115015029907	49.7435557047526	4.78888888888889	"NO"	"NO"
"Kyrgyz Republic"	969.375909970463	1.4993323014473	99.661498260498	20.4084736335809	23.2058803469139	54.675	49.709014415741	54.0850003560384	22.1888888888889	"NO"	"NO"
